,ip,ip_valid,ip_type,subnet_cidr,hostname,hostname_valid,fqdn,fqdn_consistent,reverse_ptr,mac,mac_valid,owner,owner_email,owner_team,device_type,device_type_confidence,site,site_normalized,source_row_id,normalization_steps
0,192.168.10.5,True,private_rfc1918,192.168.10.0/24,host01,True,,inconsistent,5.10.168.192.in-addr.arpa,aa:bb:cc:dd:ee:ff,True,priya,priya@corp.example.com,platform,server,100,BLR Campus,blr-campus,1,"[{'field': 'ip', 'from': '192.168.010.005', 'to': '192.168.10.5', 'reason': 'ok'}, {'field': 'hostname', 'from': 'HOST01', 'to': 'host01', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': 'AA-BB-CC-DD-EE-FF', 'to': 'aa:bb:cc:dd:ee:ff', 'reason': 'valid'}, {'field': 'owner', 'from': 'priya (platform) priya@corp.example.com', 'to': 'priya', 'reason': 'owner_valid_and_normalized'}, {'field': 'device_type', 'from': 'server', 'to': 'server', 'reason': 'exact_match'}, {'field': 'site', 'from': 'BLR Campus', 'to': 'blr-campus', 'reason': 'normalized_site'}]"
1,,False,invalid,,host-02,True,host-02.local,inconsistent,,11:22:33:44:55:66,True,ops,,,unknown,0,HQ Bldg 1,hq-bldg-1,2,"[{'field': 'ip', 'from': '10.0.1.300', 'to': None, 'reason': 'octet_out_of_range'}, {'field': 'hostname', 'from': 'host-02', 'to': 'host-02', 'reason': 'ok'}, {'field': 'fqdn', 'from': 'host-02.local', 'to': 'host-02.local', 'reason': 'valid'}, {'field': 'mac', 'from': '11-22-33-44-55-66', 'to': '11:22:33:44:55:66', 'reason': 'valid'}, {'field': 'owner', 'from': 'ops', 'to': 'ops', 'reason': 'owner_valid_and_normalized'}, {'field': 'device_type', 'from': nan, 'to': 'unknown', 'reason': 'missing'}, {'field': 'site', 'from': 'HQ Bldg 1', 'to': 'hq-bldg-1', 'reason': 'normalized_site'}]"
2,,False,invalid,,host03,True,,inconsistent,,aa:bb:cc:dd:ee:ff,True,,jane@corp.example.com,,switch,100,HQ-BUILDING-1,hq-bldg-1,3,"[{'field': 'ip', 'from': '10.0.1', 'to': None, 'reason': 'wrong_octet_count'}, {'field': 'hostname', 'from': 'host03', 'to': 'host03', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': 'aabb.ccdd.eeff', 'to': 'aa:bb:cc:dd:ee:ff', 'reason': 'valid'}, {'field': 'owner', 'from': 'jane@corp.example.com', 'to': None, 'reason': 'owner_valid_and_normalized'}, {'field': 'device_type', 'from': 'switch', 'to': 'switch', 'reason': 'exact_match'}, {'field': 'site', 'from': 'HQ-BUILDING-1', 'to': 'hq-bldg-1', 'reason': 'normalized_site'}]"
3,,False,invalid,,printer-01,True,,inconsistent,,00:11:22:33:44:55,True,facilities,,,printer,100,HQ,hq,4,"[{'field': 'ip', 'from': '10.0.1.1.2', 'to': None, 'reason': 'wrong_octet_count'}, {'field': 'hostname', 'from': 'printer-01', 'to': 'printer-01', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': '00:11:22:33:44:55', 'to': '00:11:22:33:44:55', 'reason': 'valid'}, {'field': 'owner', 'from': 'Facilities', 'to': 'facilities', 'reason': 'owner_valid_and_normalized'}, {'field': 'device_type', 'from': 'printer', 'to': 'printer', 'reason': 'exact_match'}, {'field': 'site', 'from': 'HQ', 'to': 'hq', 'reason': 'normalized_site'}]"
4,,False,invalid,,iot-cam01,True,,inconsistent,,00:aa:bb:cc:dd:ee,True,sec,,,unknown,0,Lab-1,lab-1,5,"[{'field': 'ip', 'from': 'fe80::1%eth0', 'to': None, 'reason': 'ipv6_or_non_ipv4'}, {'field': 'hostname', 'from': 'iot-cam01', 'to': 'iot-cam01', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': '00:aa:bb:cc:dd:ee', 'to': '00:aa:bb:cc:dd:ee', 'reason': 'valid'}, {'field': 'owner', 'from': 'sec', 'to': 'sec', 'reason': 'owner_valid_and_normalized'}, {'field': 'device_type', 'from': 'iot', 'to': 'storage', 'reason': 'no_match'}, {'field': 'site', 'from': 'Lab-1', 'to': 'lab-1', 'reason': 'normalized_site'}]"
5,127.0.0.1,True,loopback,127.0.0.0/8,local-test,True,,inconsistent,1.0.0.127.in-addr.arpa,,False,,,,unknown,0,,unknown,6,"[{'field': 'ip', 'from': '127.0.0.1', 'to': '127.0.0.1', 'reason': 'ok'}, {'field': 'hostname', 'from': 'local-test', 'to': 'local-test', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'owner', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'device_type', 'from': nan, 'to': 'unknown', 'reason': 'missing'}, {'field': 'site', 'from': nan, 'to': 'unknown', 'reason': 'missing'}]"
6,169.254.10.20,True,link_local_apipa,169.254.0.0/16,host-apipa,True,,inconsistent,20.10.254.169.in-addr.arpa,,False,,,,unknown,0,,unknown,7,"[{'field': 'ip', 'from': '169.254.10.20', 'to': '169.254.10.20', 'reason': 'ok'}, {'field': 'hostname', 'from': 'host-apipa', 'to': 'host-apipa', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'owner', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'device_type', 'from': nan, 'to': 'unknown', 'reason': 'missing'}, {'field': 'site', 'from': nan, 'to': 'unknown', 'reason': 'missing'}]"
7,10.10.10.10,True,private_rfc1918,10.0.0.0/8,srv-10,True,,inconsistent,10.10.10.10.in-addr.arpa,,False,platform,,,server,100,BLR campus,blr-campus,8,"[{'field': 'ip', 'from': '  10.10.10.10  ', 'to': '10.10.10.10', 'reason': 'ok'}, {'field': 'hostname', 'from': 'srv-10', 'to': 'srv-10', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'owner', 'from': 'platform', 'to': 'platform', 'reason': 'owner_valid_and_normalized'}, {'field': 'device_type', 'from': 'server', 'to': 'server', 'reason': 'exact_match'}, {'field': 'site', 'from': 'BLR campus', 'to': 'blr-campus', 'reason': 'normalized_site'}]"
8,,False,invalid,,badhost,True,,inconsistent,,,False,,,,unknown,0,,unknown,9,"[{'field': 'ip', 'from': 'abc.def.ghi.jkl', 'to': None, 'reason': 'non_numeric_or_negative'}, {'field': 'hostname', 'from': 'badhost', 'to': 'badhost', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'owner', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'device_type', 'from': nan, 'to': 'unknown', 'reason': 'missing'}, {'field': 'site', 'from': nan, 'to': 'unknown', 'reason': 'missing'}]"
9,,False,invalid,,neg,True,,inconsistent,,,False,,,,unknown,0,,unknown,10,"[{'field': 'ip', 'from': '192.168.1.-1', 'to': None, 'reason': 'non_numeric_or_negative'}, {'field': 'hostname', 'from': 'neg', 'to': 'neg', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'owner', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'device_type', 'from': nan, 'to': 'unknown', 'reason': 'missing'}, {'field': 'site', 'from': nan, 'to': 'unknown', 'reason': 'missing'}]"
10,192.168.1.255,True,private_rfc1918,192.168.1.0/24,bcast,True,,inconsistent,255.1.168.192.in-addr.arpa,,False,,,,unknown,0,,unknown,11,"[{'field': 'ip', 'from': '192.168.1.255', 'to': '192.168.1.255', 'reason': 'ok'}, {'field': 'hostname', 'from': 'bcast', 'to': 'bcast', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'owner', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'device_type', 'from': nan, 'to': 'unknown', 'reason': 'missing'}, {'field': 'site', 'from': nan, 'to': 'unknown', 'reason': 'missing'}]"
11,192.168.1.0,True,private_rfc1918,192.168.1.0/24,netid,True,,inconsistent,0.1.168.192.in-addr.arpa,,False,,,,unknown,0,,unknown,12,"[{'field': 'ip', 'from': '192.168.1.0', 'to': '192.168.1.0', 'reason': 'ok'}, {'field': 'hostname', 'from': 'netid', 'to': 'netid', 'reason': 'ok'}, {'field': 'fqdn', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'mac', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'owner', 'from': nan, 'to': None, 'reason': 'missing'}, {'field': 'device_type', 'from': nan, 'to': 'unknown', 'reason': 'missing'}, {'field': 'site', 'from': nan, 'to': 'unknown', 'reason': 'missing'}]"
